fecha;cdoperador;cdpunto_atencion;dia_semana;recaudo_cat_I;recaudo_cat_II;recaudo_cat_III;recaudo_cat_IV;recaudo_cat_V;recaudo_cat_VI;recaudo_cat_VII;recaudo_cat_VIII;recaudo_total_diario;movimientos_diarios_operador
30/01/2025;1;3;Jueves;0.00;0.00;2990800.00;5930900.00;88829700.00;0.00;476000.00;1216600.00;99444000.00;7672
30/01/2025;1;1;Jueves;50637200.00;12269100.00;35887000.00;37947000.00;64122700.00;9630200.00;21587400.00;19639500.00;251720100.00;8439
31/01/2025;1;3;Viernes;0.00;0.00;3040200.00;6011800.00;97933700.00;0.00;612000.00;1447600.00;109045300.00;8432
31/01/2025;1;1;Viernes;50095500.00;11894700.00;34364100.00;38646200.00;72199200.00;7253300.00;17633300.00;20009600.00;252095900.00;8754
1/02/2025;1;1;Sabado;36154600.00;8378500.00;22416400.00;38149300.00;83803100.00;6151600.00;18603100.00;12646800.00;226303400.00;8459
1/02/2025;1;3;Sabado;0.00;0.00;2094400.00;4756600.00;99569700.00;0.00;170000.00;492800.00;107083500.00;8327
2/02/2025;1;3;Domingo;0.00;0.00;292600.00;3828400.00;81653500.00;0.00;0.00;92400.00;85866900.00;6692
2/02/2025;1;1;Domingo;12221200.00;3110000.00;6090700.00;35298300.00;91057300.00;2386400.00;3865600.00;3067700.00;157097200.00;7139
3/02/2025;1;3;Lunes;102200.00;0.00;3284000.00;5891000.00;78586500.00;0.00;238000.00;1155000.00;89256700.00;6908
3/02/2025;1;1;Lunes;37505200.00;7442600.00;28015000.00;33429400.00;54844000.00;5845600.00;23158800.00;18282200.00;208522800.00;7149
4/02/2025;1;3;Martes;0.00;0.00;2994000.00;5652400.00;84341800.00;68000.00;782000.00;1370600.00;95208800.00;7347
4/02/2025;1;1;Martes;53045600.00;13078600.00;38969800.00;42316700.00;66717000.00;8572400.00;28736800.00;24306000.00;275742900.00;9175
5/02/2025;1;1;Miercoles;48445600.00;10680000.00;35503400.00;39094800.00;61530800.00;7904000.00;24130000.00;23253400.00;250542000.00;8466
5/02/2025;1;3;Miercoles;0.00;0.00;3132600.00;5424200.00;83759400.00;34000.00;680000.00;1463000.00;94493200.00;7281
6/02/2025;1;3;Jueves;0.00;0.00;2972200.00;5528100.00;87170700.00;0.00;748000.00;1447600.00;97866600.00;7540
6/02/2025;1;1;Jueves;47567200.00;11484400.00;36310000.00;38592200.00;63322100.00;7183200.00;25368000.00;21020500.00;250847600.00;8474
7/02/2025;1;3;Viernes;0.00;0.00;2852200.00;5720300.00;98085400.00;102000.00;1360000.00;1878800.00;109998700.00;8462
7/02/2025;1;1;Viernes;48978000.00;13046000.00;35867100.00;38761100.00;71464700.00;8126400.00;27240400.00;21773200.00;265256900.00;9034
8/02/2025;1;3;Sabado;0.00;0.00;1734400.00;5136200.00;99219400.00;0.00;374000.00;677600.00;107141600.00;8304
8/02/2025;1;1;Sabado;35708400.00;8272000.00;23281500.00;32483700.00;81439600.00;6707600.00;17576400.00;13663900.00;219133100.00;8244
9/02/2025;1;1;Domingo;13708800.00;3862800.00;5615500.00;30056300.00;80559800.00;1445200.00;3322000.00;4219800.00;142790200.00;6372
9/02/2025;1;3;Domingo;0.00;0.00;292600.00;3585000.00;70877600.00;0.00;0.00;30800.00;74786000.00;5823
10/02/2025;1;3;Lunes;0.00;0.00;2547400.00;5630700.00;80834800.00;0.00;408000.00;1324400.00;90745300.00;7030
10/02/2025;1;1;Lunes;46828000.00;10589200.00;34544700.00;38001800.00;60935600.00;7989200.00;21200400.00;19876300.00;239965200.00;8116
11/02/2025;1;1;Martes;43543600.00;8783200.00;33912300.00;37894400.00;60569600.00;7994400.00;22589600.00;21632800.00;236919900.00;8103
11/02/2025;1;3;Martes;0.00;0.00;3517600.00;5693400.00;87497200.00;204000.00;680000.00;954800.00;98547000.00;7600
12/02/2025;1;3;Miercoles;0.00;0.00;2677000.00;6046100.00;87109200.00;34000.00;544000.00;1740200.00;98150500.00;7586
12/02/2025;1;1;Miercoles;24140400.00;5952400.00;17189300.00;16724800.00;24005800.00;3226800.00;10681600.00;10306000.00;112227100.00;3614
13/02/2025;1;1;Jueves;76093600.00;18175600.00;53499400.00;60536700.00;94625900.00;10832800.00;33378400.00;31493000.00;378635400.00;12746
13/02/2025;1;3;Jueves;51100.00;0.00;2987600.00;5788200.00;88558500.00;0.00;714000.00;1663200.00;99762600.00;7695
14/02/2025;1;3;Viernes;0.00;0.00;2621200.00;5562600.00;99246500.00;34000.00;510000.00;1278200.00;109252500.00;8463
14/02/2025;1;1;Viernes;49580000.00;12267200.00;34968600.00;38715200.00;73229200.00;8335600.00;23753600.00;20542900.00;261392300.00;9010
15/02/2025;1;3;Sabado;0.00;0.00;2008400.00;4768300.00;93010700.00;0.00;340000.00;585200.00;100712600.00;7823
15/02/2025;1;1;Sabado;36533600.00;8455600.00;22255600.00;35517000.00;82624300.00;6730000.00;11898800.00;13334600.00;217349500.00;8205
16/02/2025;1;3;Domingo;0.00;0.00;431200.00;3547500.00;75967400.00;0.00;0.00;77000.00;80023100.00;6225
16/02/2025;1;1;Domingo;12014400.00;4955600.00;5208300.00;34219800.00;86625600.00;2321200.00;3464000.00;3598800.00;152407700.00;6828
17/02/2025;1;3;Lunes;0.00;0.00;2464000.00;5439400.00;82923000.00;0.00;170000.00;1124200.00;92120600.00;7153
17/02/2025;1;1;Lunes;48306400.00;10547200.00;33370200.00;37526200.00;60751400.00;6634800.00;22801200.00;18738700.00;238676100.00;8030
18/02/2025;1;1;Martes;48238800.00;12376400.00;34067200.00;36460100.00;60450000.00;7722400.00;24150800.00;21911500.00;245377200.00;8203
18/02/2025;1;3;Martes;0.00;0.00;2544200.00;5515300.00;81834000.00;0.00;748000.00;1167900.00;91809400.00;7105
